Date,Rice_Thai_5pct,Rice_Thai_25pct,Rice_Thai_A1,Rice_Vietnamese_5pct,Oil_Dubai_Oman_USD_per_bbl,Inflation_Asia_Avg_pct,Population_Growth_Asia_Avg_pct,Population_Total_Asia_Avg_millions,ENSO_Nino34_Anomaly,Fertilizer_Composite_USD_per_mt,ENSO_Phase,Crisis_2008_Financial,Crisis_2011_Food,COVID_Period,Ukraine_Conflict,Asia_Avg_Rainfall_mm
2008-07-01,721.84,670.32,546.50,646.96,131.22,7.18,1.24,505.59,26.99,741.60,El Nino,1.00,0.00,0.00,0.00,205.58
2008-08-01,693.50,657.50,468.75,607.50,113.21,6.66,1.23,506.02,26.72,763.50,El Nino,1.00,0.00,0.00,0.00,195.79
2008-09-01,683.80,651.00,420.40,561.78,95.97,6.14,1.23,506.45,26.47,725.55,El Nino,1.00,0.00,0.00,0.00,204.63
2008-10-01,609.25,487.50,348.25,478.57,68.62,5.64,1.22,506.87,26.37,689.20,El Nino,1.00,0.00,0.00,0.00,181.76
2008-11-01,552.00,440.25,307.00,431.07,51.38,5.13,1.22,507.31,26.25,519.90,El Nino,1.00,0.00,0.00,0.00,117.54
2008-12-01,531.80,422.00,287.00,413.00,41.00,4.62,1.21,507.73,25.74,427.20,El Nino,1.00,0.00,0.00,0.00,114.22
2009-01-01,580.00,464.00,318.60,386.79,44.97,4.11,1.21,508.16,25.66,385.72,El Nino,1.00,0.00,0.00,0.00,91.32
2009-02-01,590.75,472.75,319.50,418.09,43.14,4.27,1.21,508.60,25.96,389.02,El Nino,1.00,0.00,0.00,0.00,72.10
2009-03-01,588.25,471.50,332.00,424.04,45.58,4.43,1.20,508.99,26.59,402.76,El Nino,1.00,0.00,0.00,0.00,78.80
2009-04-01,549.67,446.00,335.67,430.00,50.18,4.59,1.20,509.43,27.47,364.35,El Nino,1.00,0.00,0.00,0.00,81.26
2009-05-01,533.00,454.00,322.40,405.18,57.40,4.76,1.20,509.85,27.99,340.32,El Nino,1.00,0.00,0.00,0.00,115.03
2009-06-01,574.50,476.00,320.75,404.28,69.21,4.93,1.20,510.29,28.04,319.26,El Nino,1.00,0.00,0.00,0.00,179.38
2009-07-01,572.00,463.50,320.25,410.23,64.97,5.09,1.19,510.71,27.78,287.32,El Nino,0.00,0.00,0.00,0.00,165.96
2009-08-01,526.25,432.75,305.50,395.72,71.32,5.26,1.19,511.15,27.42,274.58,El Nino,0.00,0.00,0.00,0.00,154.24
